Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
worshipmaree1,122,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"
CindyLizardo,276,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"So does everyone"
lojesus98,52,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,"RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"
BlavkWaterPark,98,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,"Oh my fucking god"
McChidi1,1302,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"Or pressure cooker."
Rachel_Saenz_,22,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,"@ every game of thrones faggot on here https://t.co/QJxtyudICd"
pietraabrweu,61,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"RT @abezerraigor: J.K. Rowling Reveals that Arya stark is the transgender Harry Potter All Along https://t.co/QP2TU0kqLQ"
ketchup16lmary,474,92,P,AGREEMENT,OBJECTIVE,NONIRONIC,"RT @danytargyryen: not gonna lie drogon trying to wake dany up ripped my heart right out of my chest https://t.co/qtTNvkPoN9"
Berkyriee,338,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"
Rafaela43924940,221,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"RT @ailejandra18: Daenerys being carried away by Drogon https://t.co/uQkjcyEMWf"
saadbusahl,700,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"RT @JosphineMamdouh: Day 1 without game of thrones https://t.co/fVXTuMGnQ8"
FakeAlessiaFio,19,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."
Bandzb3,64,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,|"RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"|
sweetasianchic,243,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,"RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"
kevROSHAY,2289,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"RT @peterberkes: We dug coal together https://t.co/Jz3qceddnd"
,122,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
worshipmaree1,122,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
CindyLizardo,276,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""So does everyone"""
lojesus98,52,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
BlavkWaterPark,98,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Oh my fucking god"""
McChidi1,1302,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Or pressure cooker."""
Rachel_Saenz_,22,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@ every game of thrones faggot on here https://t.co/QJxtyudICd"""
pietraabrweu,61,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @abezerraigor: J.K. Rowling Reveals that Arya stark is the transgender Harry Potter All Along https://t.co/QP2TU0kqLQ"""
ketchup16lmary,474,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @danytargyryen: not gonna lie drogon trying to wake dany up ripped my heart right out of my chest https://t.co/qtTNvkPoN9"""
Berkyriee,338,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"""
Rafaela43924940,221,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ailejandra18: Daenerys being carried away by Drogon https://t.co/uQkjcyEMWf"""
saadbusahl,700,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @JosphineMamdouh: Day 1 without game of thrones https://t.co/fVXTuMGnQ8"""
FakeAlessiaFio,19,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
Bandzb3,64,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
sweetasianchic,243,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"""
kevROSHAY,2289,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @peterberkes: We dug coal together https://t.co/Jz3qceddnd"""
midoo0,13009,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @Yamuva_: Dracarys https://t.co/Hi4BjMU06C"""
lorloLauren,403,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Weiss and Benioff really DGAF."""
19Bea91,145,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
ForeverTiredBih,173,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ShackAndretti: I hear that but the nigga was a dragon https://t.co/PHTs4ylxnx"""
firstnamescott,421,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @JensenKarp: Can't wait to start watching HBO's Game Of Thrones tonight and then eventually hate it's finale"""
TribalSam,370,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Wow! That was cool to see"""
Preachingpeachy,25,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
CassChen_,483,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
cinephile27,85,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
OG_Sherlock,96,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @ladyadorabeezle: Arya..... Thanks to the cast and crew of GOT for the beautiful work! #GameOfThones https://t.co/yUJCnalu91"""
worshipmaree1,122,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
yuhimashi,1789,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @hardfeeIng: CERSEI LANNISTER WAS THE LAST PERSON TO SIT ON THE IRON THRONE. SHE WON THE GAME. https://t.co/hNluGhyzju"""
kbeatt,249,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @edbott: Eight years, one month, and 26 days later, this tweet enters the Hall of Fame. https://t.co/TJkSVNAREi"""
VikiiSchneider,48,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Game of Thrones season 4 n 5 were magic"""
hanifaMM,161,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@TDemolish i wanted jon and arya in winterfell with sansa"""
kiriethnicole,606,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
Kayseenendgame,202,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""RT @fairycrust: daenerys when she kissed jon snow and felt something in her chest
https://t.co/9emi70Wu2f"""
